CCSDS_OEM_VERS = 2.0
COMMENT Orion Prime updated 2026:04:07 17:30:05 UTC
CREATION_DATE = 2026-04-07T12:47:44
ORIGINATOR = NASA/JSC/FOD/FDO
 
META_START
OBJECT_NAME = EM2
OBJECT_ID = 24
CENTER_NAME = EARTH
REF_FRAME = EME2000
TIME_SYSTEM = UTC
START_TIME = 2026-04-06T17:34:51.667
USEABLE_START_TIME = 2026-04-06T17:34:51.667
USEABLE_STOP_TIME = 2026-04-10T23:53:21.581
STOP_TIME = 2026-04-10T23:53:21.581
META_STOP
 
 
COMMENT 
 
2026-04-09T01:31:32.390 -77448.030649604931 -247171.483308471972 -146809.962365841551 0.45814523912718 0.76219778596293 0.37238296281674
2026-04-09T01:35:32.390 -77338.038953122683 -246988.450635135319 -146720.527317926055 0.45845225700815 0.76307472934647 0.37290925356042
2026-04-09T01:39:32.390 -77227.973553991105 -246805.207324208750 -146630.965851815097 0.45875942801317 0.76395309994201 0.37343644827258
2026-04-09T01:43:32.390 -77117.834415358506 -246621.753032635053 -146541.277750200243 0.45906675299150 0.76483290213957 0.37396454992235
2026-04-09T01:47:32.390 -77007.621500169393 -246438.087416300637 -146451.462795058644 0.45937423279234 0.76571414035206 0.37449356149406
2026-04-09T01:51:32.390 -76897.334771164460 -246254.210130030056 -146361.520767649403 0.45968186826476 0.76659681901534 0.37502348598739
2026-04-09T01:55:32.390 -76786.974190880646 -246070.120827580540 -146271.451448509819 0.45998966025782 0.76748094258843 0.37555432641743
2026-04-09T01:59:32.390 -76676.539721651134 -245885.819161636318 -146181.254617451690 0.46029760962048 0.76836651555359 0.37608608581478
2026-04-09T02:03:32.390 -76566.031325605334 -245701.304783803062 -146090.930053557677 0.46060571720170 0.76925354241644 0.37661876722564
2026-04-09T02:07:32.390 -76455.448964668918 -245516.577344602323 -146000.477535177401 0.46091398385037 0.77014202770615 0.37715237371192
2026-04-09T02:11:32.390 -76344.792600563844 -245331.636493465805 -145909.896839923749 0.46122241041542 0.77103197597553 0.37768690835132
2026-04-09T02:15:32.390 -76234.062194808299 -245146.481878729654 -145819.187744669063 0.46153099774575 0.77192339180119 0.37822237423745
2026-04-09T02:19:32.390 -76123.257708716745 -244961.113147628756 -145728.350025541295 0.46183974669028 0.77281627978366 0.37875877447989
2026-04-09T02:23:32.390 -76012.379103399915 -244775.529946291033 -145637.383457920194 0.46214865809795 0.77371064454755 0.37929611220433
2026-04-09T02:27:32.390 -75901.426339764759 -244589.731919731566 -145546.287816433352 0.46245773281776 0.77460649074167 0.37983439055264
2026-04-09T02:31:32.390 -75790.399378514499 -244403.718711846828 -145455.062874952389 0.46276697169875 0.77550382303919 0.38037361268299
2026-04-09T02:35:32.390 -75679.298180148544 -244217.489965408749 -145363.708406589023 0.46307637559002 0.77640264613777 0.38091378176995
2026-04-09T02:39:32.390 -75568.122704962530 -244031.045322058897 -145272.224183691054 0.46338594534077 0.77730296475971 0.38145490100456
2026-04-09T02:43:32.390 -75456.872913048268 -243844.384422302508 -145180.609977838467 0.46369568180028 0.77820478365208 0.38199697359449
2026-04-09T02:47:32.390 -75345.548764293737 -243657.506905502552 -145088.865559839382 0.46400558581792 0.77910810758690 0.38254000276408
2026-04-09T02:51:32.390 -75234.150218383045 -243470.412409873679 -144996.990699726099 0.46431565824319 0.78001294136126 0.38308399175451
2026-04-09T02:55:32.390 -75122.677234796414 -243283.100572476251 -144904.985166750965 0.46462589992574 0.78091928979746 0.38362894382384
2026-04-09T02:59:32.390 -75011.129772810120 -243095.571029210201 -144812.848729382385 0.46493631171532 0.78182715774320 0.38417486224717
2026-04-09T03:03:32.390 -74899.507791496493 -242907.823414808954 -144720.581155300664 0.46524689446185 0.78273655007169 0.38472175031672
2026-04-09T03:07:32.390 -74787.811249723862 -242719.857362833311 -144628.182211393956 0.46555764901543 0.78364747168183 0.38526961134194
2026-04-09T03:11:32.390 -74676.040106156506 -242531.672505665221 -144535.651663753990 0.46586857622632 0.78455992749834 0.38581844864964
2026-04-09T03:15:32.390 -74564.194319254617 -242343.268474501587 -144442.989277672023 0.46617967694497 0.78547392247195 0.38636826558406
2026-04-09T03:19:32.390 -74452.273847274249 -242154.644899348030 -144350.194817634590 0.46649095202204 0.78638946157951 0.38691906550701
2026-04-09T03:23:32.390 -74340.278648267296 -241965.801409012522 -144257.268047319259 0.46680240230840 0.78730654982420 0.38747085179799
2026-04-09T03:27:32.390 -74228.208680081385 -241776.737631099153 -144164.208729590377 0.46711402865514 0.78822519223564 0.38802362785428
2026-04-09T03:31:32.390 -74116.063900359892 -241587.453192001645 -144071.016626494820 0.46742583191358 0.78914539387008 0.38857739709106
2026-04-09T03:35:32.390 -74003.844266541812 -241397.947716897092 -143977.691499257635 0.46773781293531 0.79006715981056 0.38913216294154
2026-04-09T03:39:32.390 -73891.549735861743 -241208.220829739381 -143884.233108277724 0.46804997257215 0.79099049516708 0.38968792885703
2026-04-09T03:43:32.390 -73779.180265349802 -241018.272153252736 -143790.641213123541 0.46836231167622 0.79191540507672 0.39024469830714
2026-04-09T03:47:32.390 -73666.735811831590 -240828.101308925223 -143696.915572528553 0.46867483109988 0.79284189470386 0.39080247477980
2026-04-09T03:51:32.390 -73554.216331928081 -240637.707917002204 -143603.055944386957 0.46898753169583 0.79376996924033 0.39136126178145
2026-04-09T03:55:32.390 -73441.621782055576 -240447.091596479644 -143509.062085749174 0.46930041431705 0.79469963390557 0.39192106283714
2026-04-09T03:59:32.390 -73328.952118425615 -240256.251965097530 -143414.933752817364 0.46961347981682 0.79563089394680 0.39248188149064
2026-04-09T04:03:32.390 -73216.207297044923 -240065.188639333152 -143320.670700940886 0.46992672904877 0.79656375463921 0.39304372130455
2026-04-09T04:07:32.390 -73103.387273715314 -239873.901234394405 -143226.272684611846 0.47024016286686 0.79749822128610 0.39360658586047
2026-04-09T04:11:32.390 -72990.492004033600 -239682.389364212984 -143131.739457460470 0.47055378212538 0.79843429921911 0.39417047875908
2026-04-09T04:15:32.390 -72877.521443391524 -239490.652641437599 -143037.070772250532 0.47086758767900 0.79937199379832 0.39473540362027
2026-04-09T04:19:32.390 -72764.475546975664 -239298.690677427076 -142942.266380874644 0.47118158038274 0.80031131041249 0.39530136408329
2026-04-09T04:23:32.390 -72651.354269767355 -239106.503082243493 -142847.326034349739 0.47149576109201 0.80125225447923 0.39586836380685
2026-04-09T04:27:32.390 -72538.157566542592 -238914.089464645192 -142752.249482812302 0.47181013066260 0.80219483144516 0.39643640646927
2026-04-09T04:31:32.390 -72424.885391871911 -238721.449432079884 -142657.036475513596 0.47212468995070 0.80313904678609 0.39700549576860
2026-04-09T04:35:32.390 -72311.537700120331 -238528.582590677543 -142561.686760815035 0.47243943981292 0.80408490600723 0.39757563542274
2026-04-09T04:39:32.390 -72198.114445447223 -238335.488545243308 -142466.200086183322 0.47275438110626 0.80503241464335 0.39814682916957
2026-04-09T04:43:32.390 -72084.615581806240 -238142.166899250442 -142370.576198185649 0.47306951468818 0.80598157825899 0.39871908076712
2026-04-09T04:47:32.390 -71971.041062945180 -237948.617254833138 -142274.814842484862 0.47338484141657 0.80693240244863 0.39929239399365
2026-04-09T04:51:32.390 -71857.390842405905 -237754.839212779276 -142178.915763834550 0.47370036214975 0.80788489283689 0.39986677264783
2026-04-09T04:55:32.390 -71743.664873524220 -237560.832372523204 -142082.878706074203 0.47401607774652 0.80883905507871 0.40044222054885
2026-04-09T04:59:32.390 -71629.863109429760 -237366.596332138433 -141986.703412124218 0.47433198906613 0.80979489485957 0.40101874153656
2026-04-09T05:03:32.390 -71515.985503045871 -237172.130688330275 -141890.389623980911 0.47464809696833 0.81075241789565 0.40159633947160
2026-04-09T05:07:32.390 -71402.032007089540 -236977.435036428418 -141793.937082711578 0.47496440231333 0.81171162993405 0.40217501823559
2026-04-09T05:11:32.390 -71288.002574071201 -236782.508970379567 -141697.345528449368 0.47528090596185 0.81267253675299 0.40275478173119
2026-04-09T05:15:32.390 -71173.897156294683 -236587.352082739875 -141600.614700388222 0.47559760877511 0.81363514416200 0.40333563388229
2026-04-09T05:19:32.390 -71059.715705857045 -236391.963964667404 -141503.744336777861 0.47591451161485 0.81459945800212 0.40391757863418
2026-04-09T05:23:32.390 -70945.458174648462 -236196.344205914618 -141406.734174918471 0.47623161534332 0.81556548414612 0.40450061995362
2026-04-09T05:27:32.390 -70831.124514352123 -236000.492394820671 -141309.583951155684 0.47654892082331 0.81653322849868 0.40508476182905
2026-04-09T05:31:32.390 -70716.714676444084 -235804.408118303720 -141212.293400875293 0.47686642891816 0.81750269699662 0.40567000827070
2026-04-09T05:35:32.390 -70602.228612193110 -235608.090961853217 -141114.862258497946 0.47718414049174 0.81847389560912 0.40625636331075
2026-04-09T05:39:32.390 -70487.666272660601 -235411.540509522136 -141017.290257473971 0.47750205640849 0.81944683033787 0.40684383100351
2026-04-09T05:43:32.390 -70373.027608700388 -235214.756343919085 -140919.577130277990 0.47782017753341 0.82042150721737 0.40743241542549
2026-04-09T05:47:32.390 -70258.312570958660 -235017.738046200451 -140821.722608403536 0.47813850473207 0.82139793231507 0.40802212067564
2026-04-09T05:51:32.390 -70143.521109873793 -234820.485196062451 -140723.726422357751 0.47845703887065 0.82237611173162 0.40861295087547
2026-04-09T05:55:32.390 -70028.653175676212 -234622.997371733130 -140625.588301655866 0.47877578081588 0.82335605160111 0.40920491016916
2026-04-09T05:59:32.390 -69913.708718388254 -234425.274149964360 -140527.307974815747 0.47909473143512 0.82433775809124 0.40979800272380
2026-04-09T06:03:32.390 -69798.687687824000 -234227.315106023656 -140428.885169352434 0.47941389159632 0.82532123740356 0.41039223272949
